	simpson
10317.000036105	0.86998144
10317.000067945	0.97176064
10317.000015925	0.96504192
10317.000023748	0.96743552
10317.000028620	0.7502208
10317.000039648	0.92008064
10317.000015865	0.9428288
10317.000005738	0.93027968
10317.000038430	0.9299648
10317.000067725	0.94824448
10317.000042981	0.9667520000000001
10317.000046250	0.90181504
10317.000031434	0.9034048
10317.000048272	0.9308544
10317.000047796	0.93538432
10317.000013196	0.92910976
10317.000060314	0.97014528
10317.000017289	0.8641574399999999
10317.000036158	0.88465536
10317.000069605	0.88228352
10317.000023020	0.95063936
10317.000037939	0.92148608
10317.000014122	0.94553472
10317.000020494	0.94894464
10317.000035455	0.95641728
10317.000020628	0.9500544
10317.000023521	0.91471232
10317.000029596	0.92048256
10317.000030692	0.96820736
10317.000026612	0.93742848
10317.000023591	0.96716672
10317.000014687	0.96932352
10317.000011165	0.91819136
10317.000004809	0.9597184
10317.000010244	0.97245312
10317.000039892	0.9120358399999999
10317.000009101	0.97473408
10317.000014034	0.8568511999999999
10317.000027811	0.9577216
10317.000001749	0.950944
10317.000015587	0.84699264
10317.000052285	0.8198015999999999
10317.000015276	0.9647232
10317.000030112	0.95143552
10317.000005844	0.95502464
10317.000066698	0.97392512
10317.000031030	0.9547392
10317.000054321	0.96130816
10317.000042677	0.95502336
10317.000069657	0.96569216
10317.000031536	0.89215616
10317.000033428	0.97216512
10317.000069674	0.88623488
10317.000058820	0.75476736
10317.000028767	0.94666368
10317.000010116	0.87535872
10317.000038195	0.9654912
10317.000067929	0.90777984
10317.000042884	0.9078259200000001
10317.000013133	0.96603136
10317.000027278	0.97067648
10317.000051237	0.977728
10317.000018033	0.9033599999999999
10317.000065716	0.9167449599999999
10317.000023243	0.94665984
10317.000004640	0.4966387200000001
10317.000039722	0.95035904
10317.000029298	0.94945664
10317.000012025	0.8746483199999999
10317.000010981	0.95085952
10317.000035351	0.96876416
10317.000009385	0.9629824
10317.000010173	0.94708992
10317.000069295	0.94739328
10317.000052424	0.37064447999999994
10317.000011029	0.97629056
10317.000063076	0.9594982400000001
10317.000052041	0.6559884799999999
10317.000013421	0.93096704
10317.000033797	0.9223232
10317.000009624	0.95032192
10317.000028171	0.93006208
10317.000054044	0.926432
10317.000046215	0.9574976
10317.000039669	0.96465152
10317.000027729	0.957728
10317.000012016	0.94250752
10317.000020772	0.9619328
10317.000004613	0.8581363200000001
10317.000031463	0.57504256
10317.000023961	0.78358528
10317.000023761	0.80190976
10317.000022258	0.96990464
10317.000030037	0.87278592
10317.000015404	0.9207078399999999
10317.000028881	0.9580736
10317.000021783	0.87226496
10317.000021965	0.8977523199999999
10317.000027664	0.93629824
10317.000047144	0.94589568
10317.000037539	0.7947968
10317.000048385	0.91056384
10317.000023784	0.9340352000000001
10317.000040098	0.96492544
10317.000033362	0.96694784
10317.000038142	0.94556288
10317.000048948	0.94025728
10317.000030210	0.96961664
10317.000011071	0.94245376
10317.000029427	0.65493376
10317.000029222	0.94066048
10317.000020622	0.96364544
10317.000002151	0.96233856
10317.000052061	0.8500185600000001
10317.000035468	0.94967424
10317.000043097	0.9409792
10317.000033424	0.95737728
10317.000023451	0.91882496
10317.000030779	0.9525248
10317.000005885	0.9001728
10317.000001903	0.91537024
10317.000052081	0.8248076799999999
10317.000023835	0.95622016
10317.000013074	0.9020902399999999
10317.000029474	0.83067136
10317.000005948	0.9581145600000001
10317.000004142	0.96841856
10317.000030392	0.86032256
10317.000066613	0.9112384
10317.000009552	0.9166144
10317.000022263	0.9323750399999999
10317.000066847	0.93636224
10317.000004242	0.60164096
10317.000011281	0.9096064
10317.000058893	0.96296192
10317.000039885	0.96399744
10317.000010134	0.9274368
10317.000053324	0.96516992
10317.000031085	0.889088
10317.000011925	0.957184
10317.000030530	0.96489856
10317.000036437	0.95431552
10317.000036087	0.87684864
10317.000039560	0.8986304
10317.000027704	0.94882304
10317.000033441	0.94187264
10317.000029993	0.94286976
10317.000020605	0.9216512
10317.000037956	0.97199744
10317.000017641	0.91650176
10317.000049995	0.9464704
10317.000059052	0.95967232
10317.000014183	0.92292864
10317.000001805	0.95835008
10317.000030349	0.78688384
10317.000030220	0.905536
10317.000023975	0.96327936
10317.000038342	0.98066176
10317.000038489	0.75520768
10317.000065782	0.96688128
10317.000006620	0.92246144
10317.000010233	0.87181696
10317.000037497	0.89110272
10317.000001647	0.93437184
10317.000058777	0.963136
10317.000029455	0.85441536
10317.000046218	0.93489664
10317.000066480	0.54454912
10317.000030063	0.9049638400000001
10317.000047588	0.9463552
10317.000067570	0.91108992
10317.000009144	0.8624959999999999
10317.000029621	0.98053248
10317.000023042	0.9224256
10317.000013044	0.96007296
10317.000039672	0.93010176
10317.000001611	0.92746624
10317.000063126	0.85603712
10317.000062136	0.78170752
10317.000015571	0.97553024
10317.000030161	0.91547392
10317.000025993	0.92966528
10317.000069390	0.96415744
10317.000032760	0.9241024
10317.000006714	0.95334144
10317.000067786	0.9518527999999999
10317.000030209	0.9288025599999999
10317.000005662	0.9241664
10317.000002859	0.8739865600000001
10317.000013591	0.80060288
10317.000012157	0.5500185599999998
10317.000040125	0.92275456
10317.000060237	0.9536192
10317.000066439	0.92777344
10317.000069154	0.95681024
10317.000047681	0.968384
10317.000012159	0.93056896
10317.000028795	0.918304
10317.000011142	0.95363584
10317.000068294	0.94768
10317.000038072	0.95480448
10317.000027670	0.92850944
10317.000069222	0.93696256
10317.000037536	0.95069824
10317.000036048	0.93067776
10317.000069384	0.91938304
10317.000036164	0.94041984
10317.000044368	0.92768512
10317.000003493	0.8533184
10317.000053364	0.89704064
10317.000011939	0.9065664
10317.000042978	0.87790336
10317.000032866	0.7565132800000001
10317.000022954	0.9445312
10317.000023867	0.90248576
10317.000054144	0.94907264
10317.000027912	0.92028288
10317.000030536	0.97217792
10317.000017750	0.96146432
10317.000017080	0.9583424
10317.000005768	0.96328832
10317.000039667	0.95534976
10317.000002199	0.81481344
10317.000065704	0.97366656
10317.000062098	0.88034048
10317.000006929	0.91499776
10317.000013301	0.93884672
10317.000027901	0.9695808
10317.000014528	0.92763264
10317.000041752	0.95923712
10317.000020525	0.93768576
10317.000020356	0.858272
10317.000030230	0.32029951999999995
10317.000065856	0.94158592
10317.000014118	0.90424832
10317.000026083	0.9130073599999999
10317.000031008	0.90324992
10317.000002609	0.6921945599999999
10317.000065696	0.93469696
10317.000037971	0.90310272
10317.000065574	0.96010368
10317.000054143	0.95168
10317.000021286	0.97926784
10317.000045021	0.91392
10317.000032846	0.87877376
10317.000029302	0.91918464
10317.000039711	0.81715072
10317.000058615	0.89261696
10317.000030467	0.7778508800000001
10317.000010873	0.8852236800000001
10317.000020648	0.95253504
10317.000002237	0.87049856
10317.000047707	0.9522816
10317.000013151	0.9703616
10317.000066631	0.9608064000000001
10317.000026604	0.91517184
10317.000047157	0.90901248
10317.000038022	0.94979968
